Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Xu Gang,60.0,$1B,Manufacturing,Chemicals,,,True,,,"Jiaozuo, China",China,M,,,"Bachelor of Science, Beijing University of Aeronautics and Astronautics"
Kalpana Parekh,71.0,$1.1B,Manufacturing,Adhesives,Founder,Pidilite Industries,False,,,"Mumbai, India",India,F,Married,2.0,
Itzhak Ezratti & family,71.0,$1.5B,Real Estate,Homebuilding,Cofounder,GL Homes,True,,,"Indian Creek, Florida",United States,M,,3.0,
Jin Lei,58.0,$1.4B,Healthcare,Pharmaceuticals,"founder , chairman",Beijing Balance Medical Technology,True,,,"Changchun, China",China,M,Married,,
Zhang Zhidong,52.0,$9.4B,Technology,Internet media,Co-Founder,Tencent Holdings,True,,,"Shenzhen, China",China,M,,,"Bachelor of Arts/Science, Shenzhen University; Master of Arts, South China University of Technology"
Marianna Latsis & family,71.0,$1.8B,Diversified,"Banking, shipping",Philanthropist,,False,,,"Athens, Greece",Greece,F,Divorced,2.0,
Airat Shaimiev,62.0,$2.4B,Energy,"Refinery, chemicals",co-owner,TAIF Group,True,,,"Kazan, Russia",Russia,M,,,"Master of Science in Engineering, Moscow Power Engineering Institute, Kazan"
Martin Lau,51.0,$1.8B,Technology,E-commerce,president,Chinese internet giant Tencent,True,,,"Hong Kong, Hong Kong",Hong Kong,M,,,"Master of Business Administration, Kellogg School of Management; Master of Science in Engineering, Stanford University; Bachelor of Science in Engineering, University of Michigan"
Philip Niarchos,70.0,$2.8B,Diversified,Art collection,"Greek magnate, Co-president","shipping magnate Stavros Niarchos and Eugenia Livanos, Stavros Niarchos Foundation",False,,,"Paris, France",Greece,M,Married,4.0,
Brian Armstrong,41.0,$11.2B,Finance & Investments,Cryptocurrency,CEO,Coinbase,True,8.0,,"San Francisco, California",United States,M,,,"Bachelor of Arts/Economics, Rice University; Master of Arts/Science, Rice University"
Michael Andlauer,59.0,$1.1B,Logistics,"Logistics, sports",founder,ATS Healthcare,True,,,,Canada,M,,,
Chen Kaichen,,$1.4B,Manufacturing,Household chemicals,vice chairman,Guangzhou-headquartered Liby Group,True,,,"Guangzhou, China",China,M,,,
Donald Trump,77.0,$2.3B,Real Estate,Real estate,President,United States of America,False,4.0,1.0,"Palm Beach, Florida",United States,M,Married,5.0,"Fordham University; Bachelor of Arts/Science, University of Pennsylvania"
V. Prem Watsa,73.0,$1.7B,Finance & Investments,"Insurance, investments","founder, chairman, chief executive, businessman",Fairfax Financial Holdings,True,,,"Toronto, Canada",Canada,M,Married,3.0,"Bachelor of Science, Indian Institute of Technology Madras, Master of Business Administration, University of Western Ontario"
Liang Wengen,67.0,$6.1B,Manufacturing,Construction equipment,Founder,Sany Heavy Industry,True,,,"Changsha, China",China,M,Married,1.0,"Bachelor of Arts/Science, Central South University"
Rakesh Gangwal,70.0,$4.8B,Service,Airline,Co-founder,IndiGo Airlines alongside Rahul Bhatia,True,8.0,,"Miami, Florida",United States,M,Married,1.0,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School"
Antonio Luiz Seabra,81.0,$1.4B,Fashion & Retail,Cosmetics,"shareholder, Founder",Brazilian cosmetics company Natura.,True,,,"London, United Kingdom",Brazil,M,Married,4.0,
Lesley Bamberger,58.0,$1.8B,Real Estate,Real estate,"businessman,owner",Kroonenberg Groep,False,,,"Amsterdam, Netherlands",Netherlands,M,,,
Paul-Heinz Wesjohann & family,80.0,$3.5B,Food & Beverage,Chicken processing,chairman and namesake,Germany-based PHW Group,True,,,"Rechterfeld, Germany",Germany,M,Married,4.0,
Masahiro Miki,68.0,$3.8B,Fashion & Retail,Shoes,Founder and Largest Shareholder,ABC-Mart,True,,,"Tokyo, Japan",Japan,M,Married,,"Bachelor of Arts/Science, Toho Gakuen tanki University"
Carlos Pires Oliveira Dias,72.0,$1.1B,Healthcare,Pharmaceutical,Owner,RD,False,,,"Sao Paolo, Brazil",Brazil,M,Married,,"Bachelor of Science, Universidade Mackenzie"
Palmer Luckey,31.0,$2.3B,Technology,"Virtual reality, defense technology",Entrepreneur,Oculus VR,True,,,"Newport Beach, California",United States,M,Single,,"Drop Out, California State University, Long Beach"
Yeung Kin-man,60.0,$2.3B,Manufacturing,Electronics,"founder, president and chief technology officer",Biel Crystal,True,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,,
Jin Baofang,71.0,$4.3B,Energy,Solar panels,Chairman and CEO,JA Solar Holdings,True,,,"Xingtai, China",China,M,Married,2.0,"Associate in Arts/Science, Hebei Broadcast and Television University"
Alan Gerry,95.0,$1.5B,Media & Entertainment,Cable television,founder,Cablevision Industries,True,,,"Liberty, New York",United States,M,Married,3.0,"Drop Out, High School"
Jenny Lindén Urnes,53.0,$1.7B,Manufacturing,Powdered metal,"chairman, owner",Lindén Group,False,,,"Helsingborg, Sweden",Sweden,F,Married,1.0,"Bachelor of Arts, Heythrop College, University of London"
Gabe Newell,61.0,$4.3B,Gambling & Casinos,Videogames,Co-founder and CEO,Valve Corporation,True,8.0,,"Seattle, Washington",United States,M,Divorced,2.0,"Drop Out, Harvard University"
Simon Reuben,82.0,$9.6B,Diversified,"Real estate, investments",Investor,,True,,,"Monaco, Monaco",United Kingdom,M,Married,1.0,"Drop Out, Sir John Cass College, London"
Jerry Yang,55.0,$2.6B,Technology,Yahoo,Co-founder,Yahoo!,True,10.0,2.0,"Los Altos Hills, California",United States,M,Married,2.0,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
Shen Xiqiang & family,76.0,$1.8B,Energy,Chemical,Vice Chairman,Jiangsu Yoke Technology,True,,,"Yixing, China",China,M,Married,,
Thomas Hagen,88.0,$7.6B,Finance & Investments,Insurance,Chairman,Erie Indemnity,False,2.0,2.0,"Erie, Pennsylvania",United States,M,Widowed,2.0,"Bachelor of Arts/Science, Ohio State University"
Antti Herlin,67.0,$4B,Manufacturing,"Elevators, escalators","businessman, the chairman",Finnish KONE Corporation,False,,,"Kirkkonummi, Finland",Finland,M,Married,4.0,
Anu Aga,81.0,$3.3B,Construction & Engineering,Engineering,businesswoman and social worker,Thermax,False,,,"Pune, India",India,F,Widowed,1.0,"Bachelor of Arts/Science, University of Mumbai"
Park Soon-jae,69.0,$1.5B,Healthcare,Biopharmaceuticals,"cofounder ,CEO",South Korean biotechnology company Alteogen,True,,,"Daejeon, South Korea",South Korea,M,Married,,"Doctorate, Purdue University"
Leena Tewari,66.0,$3.2B,Healthcare,Pharmaceuticals,"businessperson, author, chairperson",USV Private Limited,False,,,"Mumbai, India",India,F,Married,2.0,"Master of Business Administration, Boston University; B.Com, University of Mumbai"
Apoorva Mehta,37.0,$1B,Technology,Grocery delivery service,Founder,Instacart,True,,,"San Francisco, California",Canada,M,Single,,"Bachelor of Arts/Science, University of Waterloo"
Issad Rebrab & family,80.0,$2.5B,Food & Beverage,Food,"businessman, CEO",Cevital industrial group,True,,,"Algiers, Algeria",Algeria,M,Married,5.0,
Wei Huang,64.0,$1.6B,Real Estate,Real estate,associate professor,Peking University,True,,,"Hangzhou, China",China,M,Married,,"Bachelor of Arts/Science, Wenzhou Normal College"
Miuccia Prada,74.0,$6.4B,Fashion & Retail,Luxury goods,"CEO, Fashion Designer",Prada,False,,,"Milan, Italy",Italy,F,Married,2.0,"Doctorate, University of Milan; Doctorate in Pedagogical Sciences, University of Milan"
Natacha Nikolajevic,57.0,$2.5B,Diversified,Inherited,heir,aerospace and software fortune,False,,,"Paris, France",France,F,Widowed,2.0,
Sid Bass,81.0,$3.8B,Energy,"Oil, investments",Investor and Philanthropist,Sid R. Bass Associates,False,4.0,2.0,"Fort Worth, Texas",United States,M,Divorced,2.0,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
Yi Zheng,53.0,$3.9B,Technology,Software,chairman and CEO,Hithink RoyalFlush,True,,,"Hangzhou, China",China,M,,,"Bachelor of Arts/Science, Zhejiang University"
Fernando Masaveu Herrero,57.0,$2.1B,Diversified,Diversified,"Chairman, Advisor","Masaveu Corporation, Audit Committee, Cementos Anónima Tudela Veguín, Masaveu International, Hidrocantábrico, Naturgas Energía, Bankinter",False,,,"Oveido, Spain",Spain,M,Married,3.0,"Law Degree, University of Navarra"
Kwek Leng Kee,69.0,$2.5B,Diversified,Diversified,inherited a stake,Hong Leong Group,False,,,"Singapore, Singapore",Singapore,M,Married,,
Rezwan Razack,69.0,$1.3B,Real Estate,Real estate,Managing Director,Prestige Group,False,,,"Bangalore, India",India,M,Married,1.0,"Bachelor of Commerce, St. Joseph's College of Commerce"
Federico De Nora,56.0,$1.6B,Manufacturing,Electrodes,Founder,"Oronzio, Federico De Nora",False,,,"Milan, Italy",Italy,M,,,
Nobutada Saji,78.0,$1.3B,Food & Beverage,Beverages,CEO,Suntory,False,,,"Tokyo, Japan",Japan,M,Married,,"Master of Business Administration, Anderson School of Management"
Sandra Ortega Mera,55.0,$9.3B,Fashion & Retail,Zara,Co-Founder,Zara retail chain,False,,,"La Coruna, Spain",Spain,F,Married,3.0,"Bachelor of Science, University of Santiago de Compostela"
Gary Fegel,50.0,$1.7B,Metals & Mining,"Commodities, investments","Chairman, founder","GMF Real Estate LLC, GMF Capital LLC",True,,,"Gstaad, Switzerland",Switzerland,M,Married,5.0,"Master of Business Administration, University of St. Gallen"
Pinckaers Fabien,45.0,$2.1B,Technology,Software,owns,Odoo,True,,,"Saint-Denis-Bovesse, Belgium",Belgium,M,Married,2.0,"Bachelor of Science, Catholic University of Louvain"
Anthony Bamford & family,78.0,$7.5B,Construction & Engineering,Construction equipment,Chairman,JCB,False,,,"Gloucestershire, United Kingdom",United Kingdom,M,Married,3.0,"Bachelor of Arts/Science, Grenoble University"
Viktor Rashnikov,75.0,$10.6B,Manufacturing,Steel,Chairman,Magnitogorsk Iron & Steel Works,True,,,"Magnitogorsk, Russia",Russia,M,Married,2.0,"Master of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute"
Chen Huwen,53.0,$1.3B,Manufacturing,Stationery,"Chairman, Co-founder",Shanghai M&G Stationary Inc. M&G Stationary,True,,,"Shanghai, China",China,M,,,
Michael Federmann & family,80.0,$3.4B,Technology,"Defense, hotels","Enterpriser, drone manufacturer , charge",Elbit Systems and the Dan Hotels group,True,,,"Tel Aviv, Israel",Israel,M,Married,3.0,"Bachelor of Arts, Hebrew University of Jerusalem, Master of Business Administration, Hebrew University of Jerusalem"
Dermot Desmond,73.0,$2.2B,Finance & Investments,Finance,Founder,International Investment & Underwriting,True,,,"Dublin, Ireland",Ireland,M,Married,4.0,
Albert Shigaboutdinov,71.0,$2.2B,Diversified,"Refinery, chemicals",Co-owner,TAIF Group,True,,,"Kazan, Russia",Russia,M,Married,2.0,"Master of Science in Engineering, Kazan State Technical University"
Abigail Johnson,62.0,$29B,Finance & Investments,Fidelity,Chairman & CEO,Fidelity Investments,False,4.0,1.0,"Milton, Massachusetts",United States,F,Married,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith"
Maria Franca Fissolo,89.0,$2.2B,Food & Beverage,"Nutella, chocolates",Former President,Ferrero Group,False,1.0,,"Monaco, Monaco",Italy,F,Widowed,2.0,
Dhruv Sawhney,79.0,$1.6B,Construction & Engineering,"Engineering, sugar",chairman,The Triveni Group comprising of Triveni Turbine Ltd. and Triveni Engineering and Industries Ltd,False,,,"Dubai, United Arab Emirates",India,M,Married,2.0,"Master of Arts/Science, The University of Cambridge; Master of Business Administration, The Wharton School of the University of Pennsylvania"
Diona Teh Li Shian,,$1.4B,Finance & Investments,Banking,Owner,Malaysian banking behemoth Public Bank for several decades.,False,,,"Singapore, Singapore",Malaysia,F,,,
Shapoor Mistry,59.0,$9.9B,Diversified,Diversified,Founder,Shapoorji Pallonji Group,False,,,"Mumbai, India",Ireland,M,Married,2.0,
Christopher Rokos,53.0,$2.3B,Finance & Investments,Hedge fund,CEO and Founder,Rokos Capital Management,True,,,"London, United Kingdom",United Kingdom,M,,,"Bachelor of Arts/Science, Oxford University; Master, Oxford University"
Michael Pieper,78.0,$4.8B,Manufacturing,Kitchen appliances,CEO of Artemis Group,Artemis Real Estate Partners,True,,,"Lucerne, Switzerland",Switzerland,M,Married,2.0,"Master of Business Administration, St Gallen University"
Zhang Hong,,$1B,Energy,Solar,,,True,,,"Hangzhou, China",China,F,Married,,
Zbigniew Juroszek & family,61.0,$1.8B,Diversified,"Real estate, gambling",founder,Atal S.A,True,,,"Cieszyn, Poland",Poland,M,,,
Somphote Ahunai,56.0,$1.6B,Energy,Renewable energy,CEO,Energy Absolute PCL,True,,,"Bangkok, Thailand",Thailand,M,Married,3.0,"Master of Business Administration, Joseph M. Katz Graduate School of Business"
P.V. Krishna Reddy,54.0,$2.2B,Construction & Engineering,Infrastructure,managing director,Megha Engineering and Infrastructure,True,,,"Hyderabad, India",India,M,Married,2.0,
David McMurtry,83.0,$1.6B,Manufacturing,Manufacturing,"co-founder, executive chairman","Renishaw plc,",True,,,"Wotton-under-Edge, United Kingdom",United Kingdom,M,Married,3.0,
Vladimir Lisin,67.0,$26.6B,Metals & Mining,"Steel, transport",Chairman,NLMK Group,True,,,"Moscow, Russia",Russia,M,Married,3.0,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute"
Andrey Andreev,50.0,$2.1B,Technology,Online dating,"entrepreneur, founding, founded","Bumble and Badoo, Stereo",True,,,"London, United Kingdom",United Kingdom,M,Single,,
Stein Erik Hagen,67.0,$2.3B,Fashion & Retail,Consumer goods,Chairman,Orkla,True,,,"Oslo, Norway",Norway,M,Married,4.0,
Shi Yuzhu,61.0,$2.9B,Diversified,"Online games, investments",entrepreneur and software engineer,Giant Network Group,True,,,"Shanghai, China",China,M,Divorced,1.0,"Master of Science, Shenzhen University; Bachelor of Arts/Science, Zhejiang University"
Hong Seok-joh,71.0,$1B,Fashion & Retail,Convenience stores,,BGF Co. Ltd.,False,,,"Seoul, South Korea",South Korea,M,Married,1.0,"Master of Laws, Harvard University; Law Degree, Seoul National University"
Alexandra Schoerghuber & family,65.0,$5B,Real Estate,Real estate,Chairwoman of Supervisory Board,Schoerghuber Unternehmensgruppe,False,,,"Munich, Germany",Germany,F,Widowed,3.0,
Vladimir Kim,63.0,$3.6B,Metals & Mining,Mining,"businessman, owns","natural resources sector, offshore companies",True,,,"Almaty, Kazakhstan",Kazakhstan,M,Married,3.0,"Bachelor of Science, Kazakh Leading Academy of Architecture and Civil Engineering, Master of Business Administration, John F. Kennedy University, Doctor of Philosophy, John F. Kennedy University"
Kazuo Okada,81.0,$1.1B,Gambling & Casinos,Casinos,Japanese businessman,,True,,,"Tokyo, Japan",Japan,M,Married,3.0,
Vivek Chaand Sehgal,67.0,$4.9B,Automotive,Auto parts,Co-founder,Samvardhana Motherson Group,True,,,"Delhi, India",Australia,M,Married,2.0,"Bachelor of Arts/Science, Delhi University"
John Van Lieshout,78.0,$1.5B,Real Estate,Real estate,Owner,Amart Furniture store chain.,True,,,"Brisbane, Australia",Australia,M,Married,3.0,"Diploma, High School"
Acharya Balkrishna,51.0,$3.8B,Food & Beverage,Consumer goods,businessman and chairman,Patanjali Ayurved,True,,,"Haridwar, India",India,M,Single,,
Ian Livingstone,61.0,$4.7B,Real Estate,Real estate,Co-founder,Fighting Fantasy series,True,,,"London, United Kingdom",United Kingdom,M,,,
Hans Georg Naeder,62.0,$2.8B,Manufacturing,Prosthetics,"entrepreneur, Managing Partner",Ottobock,False,,,"Duderstadt, Germany",Germany,M,Divorced,2.0,"Bachelor of Science, University of Erlangen-Nuremberg"
Hamad bin Jassim bin Jaber Al Thani,64.0,$1.8B,Finance & Investments,Investments,Prime Minister,Qatar,False,,,"Doha, Qatar",Qatar,M,Married,,
"Ernest Garcia, II.",66.0,$8.9B,Automotive,Used cars,Owner,DriveTime,True,9.0,1.0,"Tempe, Arizona",United States,M,Married,,"Drop Out, University of Arizona"
Adrian Paval,55.0,$1.4B,Fashion & Retail,Retail,founder,Dedeman,True,,,"Bacau, Romania",Romania,M,Married,,
Arnout Schuijff,56.0,$2.8B,Technology,Payments software,"entrepreneur, co-founder and former chief technology officer",Adyen,True,,,"Amsterdam, Netherlands",Netherlands,M,Married,,
Luigi Berlusconi,35.0,$1.2B,Media & Entertainment,Media,,,False,,,"Macherio, Italy",Italy,M,Married,,"Bachelor of Science, Bocconi University"
Anita Zucker,72.0,$2.3B,Manufacturing,Chemicals,Chairperson and CEO,The InterTech Group,False,3.0,2.0,"Charleston, South Carolina",United States,F,Widowed,3.0,"Bachelor of Arts/Science, University of Florida; Master of Arts, University of North Florida"
Susan Ocampo & family,,$1.8B,Technology,Semiconductors,director,,True,,,,United States,F,Widowed,3.0,"Bachelor of Arts, Maryknoll College"
Ron Baron,80.0,$5.1B,Finance & Investments,Money management,"mutual fund manager, and the founder",Baron Capital,True,8.0,1.0,"New York, New York",United States,M,Married,2.0,"Bachelor of Arts/Science, Bucknell University"
Joseph Steinberg,80.0,$1.3B,Finance & Investments,Investments,chairman,"Jefferies Financial Group,",True,,,"New York, New York",United States,M,Married,3.0,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, New York University"
Weijian Shan,70.0,$1.1B,Finance & Investments,private equity,"Chairperson, Chinese economist, businessman, and author",PAG,True,,,"Hong Kong, Hong Kong",Hong Kong,M,,,"Doctorate, University of California, Berkeley; Master of Economics, University of California, Berkeley; Master of Business Administration, University of San Francisco"
Tsao Ter-fung,77.0,$1.2B,Food & Beverage,Food,chairman,Standard Foods,True,,,"Taipei, Taiwan",Taiwan,M,Married,1.0,"Master of Science, Colorado State University; Doctorate, Colorado State University; Bachelor of Arts/Science, National Cheng Kung University"
Annette Lerner & family,94.0,$6.4B,Real Estate,Real estate,Owner,Nationals Baseball Club,False,1.0,1.0,"Chevy Chase, Maryland",United States,F,Widowed,3.0,
Jeff Rothschild,69.0,$5.9B,Technology,Facebook,Advisor,Meta Platforms,True,6.0,1.0,"Palo Alto, California",United States,M,Married,3.0,"Bachelor of Arts/Science, Vanderbilt University; Master of Science, Vanderbilt University"
Michael Hartono,84.0,$25.5B,Manufacturing,"Banking, tobacco",Co-founder,Djarum Group,False,,,"Kudus, Indonesia",Indonesia,M,Married,4.0,"Drop Out, Diponegoro University"
Christopher Goldsbury,81.0,$2B,Food & Beverage,Salsa,Chief Executive Officer,Silver Ventures,False,,,"San Antonio, Texas",United States,M,Married,1.0,"Bachelor of Arts/Science, Trinity University"
Carlo Fidani,69.0,$4.8B,Real Estate,Real estate,Chairman,Orlando Corporation,False,,,"Toronto, Canada",Canada,M,,,
Clive Calder,77.0,$5.7B,Media & Entertainment,Record label,Founder and former CEO,Zomba Group,True,,,"Grand Cayman, Cayman Islands",United Kingdom,M,Married,2.0,
Martin Bouygues,,$2.6B,Construction & Engineering,"Construction, media",chairman and chief executive officer,"French company, Bouygues Telecom",False,,,"Paris, France",France,M,,,
Isak Andic & family,70.0,$4B,Fashion & Retail,Fashion retail,Founder,Mango,True,,,"Barcelona, Spain",Spain,M,Divorced,3.0,
Michael Novogratz,59.0,$2.5B,Finance & Investments,"Investments, cryptocurrency","investor, formerly of the investment,CEO","firm Fortress Investment Group, Galaxy Investment Partners",True,,,"New York, New York",United States,M,Married,4.0,"Associate in Arts/Science, Princeton University"
Djoko Susanto,74.0,$4.1B,Fashion & Retail,Supermarkets,Founder,Alfamart,True,,,"Jakarta, Indonesia",Indonesia,M,Married,5.0,
Keith Dunleavy & family,54.0,$1.9B,Healthcare,Health IT,founder,Inovalon,True,,,"Annapolis, Maryland",United States,M,Married,4.0,"Bachelor of Arts/Science, Dartmouth College; Medical Doctor, Harvard University"
Ivan Tavrin,47.0,$2.4B,Finance & Investments,Private equity,"oligarch, investor, and founder, Chief Executive Officer","several major corporations, Kismet Capital Group",True,,,"Moscow, Russia",Russia,M,Married,2.0,"Master, Moscow State Institute of International Relations"
Johnelle Hunt,92.0,$4.9B,Logistics,Trucking,Co-founder,J.B. Hunt Transport Services,True,7.0,2.0,"Fayetteville, Arkansas",United States,F,Widowed,2.0,"Drop Out, University of Central Arkansas"
Anand Burman,71.0,$2.2B,Food & Beverage,Consumer goods,Chairman,Dabur India Limited,False,,,"Delhi, India",India,M,Married,2.0,"Master of Science, University of Kansas; Doctorate, University of Kansas"
Giovanni Arvedi,86.0,$1.8B,Metals & Mining,Steel,"founder , owner",Arvedi Group,True,,,"Cremona, Italy",Italy,M,Married,,"Honorary Degree in Business Management, Università Cattolica del Sacro Cuore"
Karen Pritzker,66.0,$6.1B,Finance & Investments,"Hotels, investments",Co-owner,Hyatt Corporation,False,3.0,2.0,"Branford, Connecticut",United States,F,Widowed,4.0,"Bachelor of Arts/Science, Northwestern University"
Orion Hindawi,44.0,$1.1B,Technology,Software,CEO,Tanium,True,,,"Seattle, Washington",United States,M,Married,2.0,"Drop Out, University of California, Berkeley"
Sun Huaiqing & family,54.0,$1.3B,Fashion & Retail,Cosmetics,Chairman,Guangdong Marubi Biotechnology,True,,,"Guangzhou, China",China,M,Married,,"Master of Business Administration, Guanghua School of Management"
Koon Poh Keong,62.0,$3.7B,Manufacturing,Aluminum,CEO,Press Metal,True,,,"Petaling Jaya, Malaysia",Malaysia,M,Married,,"Bachelor of Engineering, University of Oklahoma"
Eric Douglas,55.0,$6.4B,Diversified,Investments,Owner,Lerner Enterprises,False,,,"Stockholm, Sweden",Sweden,M,Married,,"Bachelor of Arts/Economics, Lund University"
Andrew Bialecki,,$2.5B,Technology,Marketing software,"co-founder, CEO",Klaviyo,True,,,,United States,M,,,"Bachelor of Arts, Harvard University"
Sefik Yilmaz Dizdar,86.0,$1.9B,Fashion & Retail,Fashion retail,Turkish businessman,LC Waikiki,True,,,"Istanbul, Turkey",Turkey,M,Married,,
"Henry Nicholas, III.",64.0,$11.9B,Technology,Semiconductors,Co-founder,Broadcom,True,8.0,1.0,"Newport Coast, California",United States,M,Divorced,3.0,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
Eduardo Saverin,42.0,$28B,Technology,Facebook,Investor,Meta Platforms,True,,,"Singapore, Singapore",Brazil,M,Married,1.0,"Bachelor of Arts/Science, Harvard University"
Ben Chestnut,49.0,$5B,Technology,Email marketing,Co-founder and Former CEO,Mailchimp,True,8.0,1.0,"Atlanta, Georgia",United States,M,Married,2.0,"Bachelor of Arts/Science, Georgia Institute of Technology"
Sofia Högberg Schörling,45.0,$5.6B,Diversified,Investments,Vice Chairman,Melker Schörling AB,False,,,"Stockholm, Sweden",Sweden,F,Married,4.0,"Master of Business Administration, Stockholm School of Economics"
Ilson Mateus & family,61.0,$2.3B,Fashion & Retail,Supermarkets,Founder,Grupo Mateus SA,True,,,"Sao Luis, Brazil",Brazil,M,Married,3.0,"Masters Business Admin, Fundação Dom Cabral, Graduate Degree, Instituto de Estudios Superiores de la Empresa"
Changpeng Zhao,47.0,$33B,Finance & Investments,Cryptocurrency exchange,Former CEO,Binance,True,,,"Dubai, United Arab Emirates",Canada,M,,,"Bachelor of Science, McGill University"
Mario Gabelli,82.0,$1.8B,Finance & Investments,Money management,"CEO ,Chairman,Owner",Gabelli Asset Management,True,8.0,,"Greenwich, Connecticut",United States,M,Married,4.0,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Fordham University"
"Austen Cargill, II.",73.0,$4.2B,Food & Beverage,Cargill,Heir,Cargill,False,1.0,1.0,"Livingston, Montana",United States,M,Divorced,2.0,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota"
Kevin Systrom,40.0,$2.8B,Technology,Instagram,Co-founder,Instagram,True,,,"San Francisco, California",United States,M,Married,1.0,"Bachelor of Arts/Science, Stanford University"
Rafaela Aponte-Diamant,79.0,$33.1B,Logistics,Shipping,Founder,Mediterranean Shipping Company,True,,,"Geneva, Switzerland",Switzerland,F,Married,2.0,
Henry Davis,73.0,$2.4B,Food & Beverage,Beef processing,Owner,Greater Omaha Packing,False,,,"Omaha, Nebraska",United States,M,Divorced,,"Bachelor of Arts/Science, University of Denver"
Lorenzo Fertitta,55.0,$3B,Sports,"Casinos, mixed martial arts","businessman and philanthropist, chairman, director","Fertitta Capital, Red Rock Resorts Inc",False,5.0,2.0,"Las Vegas, Nevada",United States,M,Married,3.0,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, U of San Diego"
Lin Chang Su-O,83.0,$1.3B,Real Estate,Real estate,widow,real estate mogul Lin Rong San.,False,,,"Taipei, Taiwan",Taiwan,F,Widowed,4.0,
Willis Johnson,76.0,$3.1B,Automotive,Damaged cars,"businessman, founder and former chief executive",Copart,True,,,"Franklin, Tennessee",United States,M,Married,2.0,
H. Fisk Johnson,65.0,$4.9B,Manufacturing,Cleaning products,CEO,S. C. Johnson & Son,False,3.0,2.0,"Racine, Wisconsin",United States,M,Divorced,1.0,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
Rubens Ometto Silveira Mello,74.0,$1.9B,Energy,"Sugar, ethanol",Chairperson,"Raízen, Cosan",False,,,"Sao Paulo, Brazil",Brazil,M,Married,,"Bachelor of Engineering, Polytechnic School of the University of Sao Paulo"
Tran Dinh Long,63.0,$2.6B,Manufacturing,Steel,"businessman, chair","Hoa Phat Group, Vietnam's steel industry",True,,,"Hanoi, Vietnam",Vietnam,M,Married,,"Bachelor of Arts, National Economics University"
Ramesh Kunhikannan,60.0,$1.4B,Manufacturing,Electronics,"founder , managing director",electronics manufacturer Kaynes Technology,True,,,"Mysore, India",India,M,Married,1.0,"Bachelor of Science, National Institute of Engineering, Mysore"
Giovanni Ferrero,59.0,$43.8B,Food & Beverage,"Nutella, chocolates",Executive Chairman,Ferrero SpA,False,4.0,,"Brussels, Belgium",Italy,M,Married,2.0,Degree
Zhao Hongfei,49.0,$1.2B,Technology,Software,Chair,Thunder Software Technology,True,,,"Beijing, China",China,M,,,"Bachelor of Science, Beijing Institute of Technology, Master of Science, Beijing Institute of Technology"
Ali Metin Kazanci,89.0,$1.6B,Energy,Energy,chairman,Kazancı Holding,True,,,"Istanbul, Turkey",Turkey,M,Married,3.0,"Bachelor of Science, Istanbul Technical University"
Thomas Bruch,73.0,$1.6B,Fashion & Retail,Retail,Entrepreneur,,False,,,"St. Wendel, Germany",Germany,M,Married,3.0,"Master of Business Administration, University of Saarland"
Cai Dongchen,71.0,$2.4B,Healthcare,Pharmaceuticals,"CEO,Chairman",CSPC Pharmaceutical Group,True,,,"Luancheng, China",China,M,,,"Master, Chinese Academy of Social Sciences; Master of Business Administration, Nankai University"
Torsten Toeller,58.0,$1.7B,Fashion & Retail,Pet food,Founder,Fressnapf,True,,,"Krefeld, Germany",Germany,M,Married,,
Don Hankey,80.0,$7.4B,Finance & Investments,Auto loans,Chairman,Hankey Group,True,7.0,1.0,"Malibu, California",United States,M,Married,4.0,"Bachelor of Arts/Science, University of Southern California"
Boris Rotenberg,67.0,$1.4B,Construction & Engineering,"Construction, pipes, chemicals",co-owner,SGM group,True,,,"Moscow, Russia",Russia,M,Married,5.0,"Master of Arts/Science, Leningrad Institute of Physical Culture"
Alberto Bombassei,83.0,$2.5B,Automotive,Automotive brakes,"businessman, chairman and president controls 53.5%",Brembo,False,,,"Bergamo, Italy",Italy,M,Married,2.0,
William MacMillan,69.0,$1.3B,Food & Beverage,Cargill,billionaire,,False,1.0,,"Englewood, Colorado",United States,M,,,"Bachelor of Arts, Brown University"
