Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Leonid Simanovsky,74.0,$1.6B,Finance & Investments,Investments,businessman,,True,,,"Moscow, Russia",Russia,M,Married,1.0,"Master of Economics, Kuibyshev Planning Institute"
Giuseppe Crippa & family,88.0,$4.7B,Manufacturing,Microchip testing,Founder and Honorary Chairman,Technoprobe,True,,,"Cernusco Lombardone, Italy",Italy,M,Married,3.0,
Arsen Kanokov,67.0,$1.2B,Real Estate,Real estate,politician,,True,,,"Moscow, Russia",Russia,M,Married,3.0,"Doctorate, Plekhanov Russian University of Economics"
Christy Walton,75.0,$13.6B,Fashion & Retail,Walmart,Owner,Walmart,False,1.0,1.0,"Jackson, Wyoming",United States,F,Widowed,1.0,"High School Graduate, High School"
Cao Ji,72.0,$1.2B,Manufacturing,Manufacturing,chairman,"Zhejiang Hangke Technology,",True,,,"Hangzhou, China",China,M,,,
Yuri Kovalchuk & family,72.0,$3.2B,Finance & Investments,"Banking, insurance, media",businessman and financier,Vladimir Putin's personal banker,True,,,"St. Petersburg, Russia",Russia,M,Married,1.0,"Doctorate, St Petersburg State University"
Kerry Stokes,83.0,$6.6B,Diversified,"Construction equipment, media",Chairman,Institut Mérieux,True,,,"Perth, Australia",Australia,M,Married,4.0,
Craig McCaw,74.0,$2B,Telecom,Telecom,businessman and entrepreneur,cellular phone industry,False,5.0,,"Hunts Point, Washington",United States,M,Married,3.0,"Bachelor of Arts/Science, Stanford University"
Vladislav Filev & family,60.0,$1.9B,Service,Airlines,Former CEO,S7 Airlines,True,,,"Moscow, Russia",Russia,M,Widowed,3.0,"Master of Science in Engineering, Mozhaisky Military Space Academy"
Arkady Rotenberg,72.0,$4B,Construction & Engineering,"Construction, pipes, banking","businessman and oligarch, Co-founder, Head","SMP Bank, of SGM",True,,,"Moscow, Russia",Russia,M,Divorced,5.0,"Master of Arts/Science, Leningrad Institute of Physical Culture"
Martin Moller Nielsen,59.0,$1.3B,Logistics,Aircraft leasing,Businessman,,True,,,"Lugano, Switzerland",Denmark,M,Single,,
Timur Kulibaev,57.0,$5B,Finance & Investments,Banking,"Businessman, High-level Positions ",Kazakhstan's oil and gas sector,True,,,"Almaty, Kazakhstan",Kazakhstan,M,Married,3.0,"Bachelor of Arts/Science, Moscow State University"
Anatoly Sedykh,59.0,$2.6B,Metals & Mining,Steel pipes,owns,United Metallurgical Company (OMK,True,,,"Moscow, Russia",Russia,M,Married,2.0,"Master of Science in Engineering, Moscow Institute of Steel and Alloys"
Liu Hanyuan,60.0,$8.6B,Food & Beverage,Agribusiness,Founder and Chairman,Tongwei Group,True,,,"Chengdu, China",China,M,Married,,"Bachelor of Arts/Science, Sichuan University"
Michal Solowow,61.0,$6.9B,Finance & Investments,Investments,Investor,,True,,,"Kielce, Poland",Poland,M,Married,1.0,"Master of Science in Engineering, Kielce University of Technology"
Robin Zeng,55.0,$22.9B,Automotive,Batteries,Chairman,CATL,True,,,"Ningde, China",Hong Kong,M,,,"Doctorate, Chinese Academy of Social Sciences"
Yuan Fugen & family,73.0,$1.4B,Manufacturing,Metal processing,founder,"Suzhou Dongshan Precision Manufacturing,",True,,,"Suzhou, China",China,M,,,
O. Francis Biondi,59.0,$1.8B,Finance & Investments,Hedge funds,cofounded,hedge fund King Street Capital Managemen,True,,,"New York, New York",United States,M,Married,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University"
Mao Lixiang & family,83.0,$1B,Technology,Cooking appliances,founder,Fotile,True,,,"Ningbo, China",China,M,,,
Charlene de Carvalho-Heineken & family,69.0,$14.1B,Food & Beverage,Heineken,Executive Director,Heineken Holding NV,False,,,"London, United Kingdom",Netherlands,F,Married,5.0,"Drop Out, University of Leiden"
Alexandra Andresen,27.0,$1.6B,Diversified,Investments,Owner,,False,,,"Oslo, Norway",Norway,F,Single,,
Ian Wood & family,81.0,$1.7B,Energy,Energy services,"businessman, philanthropist",,False,,,"Aberdeen, United Kingdom",United Kingdom,M,Married,3.0,"Bachelor of Science, University of Aberdeen"
Alexey Mordashov & family,58.0,$25.5B,Metals & Mining,"Steel, investments",Chairman,Severstal,True,,,"Moscow, Russia",Russia,M,Married,7.0,"Master of Science in Engineering, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria"
Lam Kong,59.0,$2.4B,Healthcare,Pharmaceuticals,chairs,Hong Kong-listed China Medical System,True,,,"Hong Kong, Hong Kong",China,M,,,"Bachelor of Arts/Science, Guangdong Medical College"
Dmitry Alexeyev,49.0,$1.3B,Fashion & Retail,Retail,pianist,,True,,,"Vladivostok, Russia",Russia,M,Married,1.0,"Master of Science in Engineering, Far Eastern State Technical University"
Mehmet Aydinlar,67.0,$1.2B,Healthcare,Hospitals,CEO,Acıbadem Healthcare Group,True,,,"Istanbul, Turkey",Turkey,M,Married,1.0,"Bachelor of Science, Galatasaray Business Administration College"
Harindarpal Banga,73.0,$2.8B,Finance & Investments,Commodities,"entrepreneur and philanthropist, Founder, Chairman, and CEO",Caravel Group Limited,True,,,"Hong Kong, Hong Kong",India,M,Married,2.0,
Pham Nhat Vuong,55.0,$4.4B,Diversified,Diversified,Founder and Chairman,Vingroup,True,,,"Hanoi, Vietnam",Vietnam,M,Married,3.0,"Bachelor of Science, Russian State Geological Prospecting University"
